Invoice ID,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,City - Branch,Day of Week,Month,Rating Category
482-17-1179,Member,Male,Electronic accessories,11.94,3,1.791,37.611,2019-01-19,12:47,Credit card,8.1,Yangon - A,Saturday,January,8-10
809-69-9497,Normal,Female,Home and lifestyle,45.68,10,22.84,479.64,2019-01-19,19:30,Ewallet,5.7,Yangon - A,Saturday,January,4-6
151-27-8496,Normal,Female,Electronic accessories,56.13,4,11.226,235.746,2019-01-19,11:43,Ewallet,8.6,Naypyitaw - C,Saturday,January,8-10
832-51-6761,Normal,Male,Food and beverages,33.88,8,13.552,284.592,2019-01-19,20:29,Ewallet,9.6,Yangon - A,Saturday,January,8-10
761-49-0439,Member,Female,Electronic accessories,12.1,8,4.84,101.64,2019-01-19,10:17,Ewallet,8.6,Mandalay - B,Saturday,January,8-10
125-45-2293,Normal,Female,Fashion accessories,99.1,6,29.73,624.33,2019-01-19,13:11,Cash,4.2,Yangon - A,Saturday,January,4-6
670-71-7306,Normal,Male,Sports and travel,44.63,6,13.389,281.169,2019-01-02,20:08,Credit card,5.1,Mandalay - B,Wednesday,January,4-6
504-35-8843,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57,Cash,5.7,Yangon - A,Wednesday,January,4-6
446-47-6729,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,2019-01-02,18:09,Credit card,6.7,Naypyitaw - C,Wednesday,January,6-8
744-09-5786,Normal,Male,Electronic accessories,22.01,6,6.603,138.663,2019-01-02,18:50,Cash,7.6,Mandalay - B,Wednesday,January,6-8
345-68-9016,Member,Female,Sports and travel,31.67,8,12.668,266.028,2019-01-02,16:19,Credit card,5.6,Naypyitaw - C,Wednesday,January,4-6
198-84-7132,Member,Male,Fashion accessories,40.61,9,18.2745,383.7645,2019-01-02,13:40,Cash,7.0,Mandalay - B,Wednesday,January,6-8
244-08-0162,Normal,Female,Health and beauty,34.21,10,17.105,359.205,2019-01-02,13:00,Cash,5.1,Mandalay - B,Wednesday,January,4-6
712-39-0363,Member,Male,Food and beverages,41.66,6,12.498,262.458,2019-01-02,15:24,Ewallet,5.6,Yangon - A,Wednesday,January,4-6
257-73-1380,Member,Male,Sports and travel,82.93,4,16.586,348.306,2019-01-20,16:51,Ewallet,9.6,Naypyitaw - C,Sunday,January,8-10
787-87-2010,Member,Male,Health and beauty,55.5,4,11.1,233.1,2019-01-20,15:48,Credit card,6.6,Yangon - A,Sunday,January,6-8
410-67-1709,Member,Female,Fashion accessories,63.88,8,25.552,536.592,2019-01-20,17:48,Ewallet,9.9,Yangon - A,Sunday,January,8-10
458-10-8612,Normal,Male,Health and beauty,64.08,7,22.428,470.988,2019-01-20,12:27,Ewallet,7.6,Naypyitaw - C,Sunday,January,6-8
725-96-3778,Member,Female,Home and lifestyle,89.25,8,35.7,749.7,2019-01-20,10:13,Cash,4.7,Naypyitaw - C,Sunday,January,4-6
356-44-8813,Normal,Male,Home and lifestyle,37.48,3,5.622,118.062,2019-01-20,13:45,Credit card,7.7,Mandalay - B,Sunday,January,6-8
645-78-8093,Normal,Female,Sports and travel,93.14,2,9.314,195.594,2019-01-20,18:09,Ewallet,4.1,Yangon - A,Sunday,January,4-6
817-48-8732,Normal,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55,Cash,5.4,Yangon - A,Sunday,January,4-6
760-27-5490,Normal,Male,Fashion accessories,15.62,8,6.248,131.208,2019-01-20,20:37,Ewallet,9.1,Naypyitaw - C,Sunday,January,8-10
378-24-2715,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:38,Ewallet,4.1,Mandalay - B,Sunday,January,4-6
462-67-9126,Normal,Male,Home and lifestyle,73.22,6,21.966,461.286,2019-01-21,17:44,Cash,7.2,Yangon - A,Monday,January,6-8
162-65-8559,Member,Male,Food and beverages,68.98,1,3.449,72.429,2019-01-21,20:13,Cash,4.8,Naypyitaw - C,Monday,January,4-6
269-10-8440,Member,Male,Health and beauty,53.17,7,18.6095,390.7995,2019-01-21,18:01,Cash,8.9,Yangon - A,Monday,January,8-10
870-72-4431,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42,Credit card,5.5,Naypyitaw - C,Monday,January,4-6
239-10-7476,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,16:37,Ewallet,8.0,Yangon - A,Monday,January,8-10
401-18-8016,Member,Female,Sports and travel,98.13,1,4.9065,103.0365,2019-01-21,17:36,Cash,8.9,Mandalay - B,Monday,January,8-10
329-62-1586,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,8.6,Yangon - A,Monday,January,8-10
316-68-6352,Member,Female,Food and beverages,36.36,2,3.636,76.356,2019-01-21,10:00,Cash,7.1,Yangon - A,Monday,January,6-8
756-01-7507,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56,Cash,6.0,Naypyitaw - C,Tuesday,January,6-8
186-09-3669,Member,Female,Health and beauty,81.51,1,4.0755,85.5855,2019-01-22,10:57,Ewallet,9.2,Naypyitaw - C,Tuesday,January,8-10
120-54-2248,Normal,Female,Food and beverages,28.86,5,7.215,151.515,2019-01-22,18:08,Credit card,8.0,Mandalay - B,Tuesday,January,8-10
521-18-7827,Member,Male,Home and lifestyle,39.39,5,9.8475,206.7975,2019-01-22,20:46,Credit card,8.7,Naypyitaw - C,Tuesday,January,8-10
460-35-4390,Normal,Male,Home and lifestyle,30.68,3,4.602,96.642,2019-01-22,11:00,Ewallet,9.1,Yangon - A,Tuesday,January,8-10
563-47-4072,Normal,Female,Health and beauty,55.81,6,16.743,351.603,2019-01-22,11:52,Cash,9.9,Mandalay - B,Tuesday,January,8-10
287-21-9091,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55,Ewallet,9.4,Yangon - A,Tuesday,January,8-10
477-59-2456,Normal,Female,Fashion accessories,45.44,7,15.904,333.984,2019-01-23,11:15,Cash,9.2,Naypyitaw - C,Wednesday,January,8-10
731-81-9469,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00,Credit card,5.4,Naypyitaw - C,Wednesday,January,4-6
828-46-6863,Member,Male,Food and beverages,98.53,6,29.559,620.739,2019-01-23,11:22,Credit card,4.0,Yangon - A,Wednesday,January,4-6
604-70-6476,Member,Male,Fashion accessories,17.94,5,4.485,94.185,2019-01-23,14:04,Ewallet,6.8,Yangon - A,Wednesday,January,6-8
565-80-5980,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25,Cash,7.1,Naypyitaw - C,Wednesday,January,6-8
434-83-9547,Member,Male,Food and beverages,38.47,8,15.388,323.148,2019-01-23,11:51,Cash,7.7,Naypyitaw - C,Wednesday,January,6-8
767-05-1286,Member,Female,Home and lifestyle,83.77,6,25.131,527.751,2019-01-23,12:10,Ewallet,5.4,Naypyitaw - C,Wednesday,January,4-6
318-12-0304,Normal,Male,Fashion accessories,30.61,1,1.5305,32.1405,2019-01-23,12:20,Ewallet,5.2,Yangon - A,Wednesday,January,4-6
740-22-2500,Normal,Female,Electronic accessories,84.05,3,12.6075,264.7575,2019-01-23,13:29,Cash,9.8,Naypyitaw - C,Wednesday,January,8-10
316-66-3011,Member,Female,Food and beverages,47.63,9,21.4335,450.1035,2019-01-23,12:35,Cash,5.0,Yangon - A,Wednesday,January,4-6
148-41-7930,Normal,Male,Health and beauty,99.96,7,34.986,734.706,2019-01-23,10:33,Cash,6.1,Naypyitaw - C,Wednesday,January,6-8
480-63-2856,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37,Ewallet,6.6,Naypyitaw - C,Wednesday,January,6-8
213-32-1216,Normal,Female,Electronic accessories,66.06,6,19.818,416.178,2019-01-23,10:28,Cash,7.3,Yangon - A,Wednesday,January,6-8
809-46-1866,Normal,Male,Health and beauty,58.15,4,11.63,244.23,2019-01-23,17:44,Cash,8.4,Yangon - A,Wednesday,January,8-10
790-38-4466,Normal,Female,Health and beauty,10.99,5,2.7475,57.6975,2019-01-23,10:18,Credit card,9.3,Naypyitaw - C,Wednesday,January,8-10
160-22-2687,Member,Female,Health and beauty,95.95,5,23.9875,503.7375,2019-01-23,14:21,Ewallet,8.8,Yangon - A,Wednesday,January,8-10
219-61-4139,Normal,Male,Electronic accessories,83.08,1,4.154,87.234,2019-01-23,17:16,Ewallet,6.4,Naypyitaw - C,Wednesday,January,6-8
510-79-0415,Member,Female,Sports and travel,23.08,6,6.924,145.404,2019-01-24,19:20,Ewallet,4.9,Mandalay - B,Thursday,January,4-6
602-16-6955,Normal,Female,Sports and travel,76.6,10,38.3,804.3,2019-01-24,18:10,Ewallet,6.0,Mandalay - B,Thursday,January,6-8
726-27-2396,Normal,Female,Health and beauty,77.5,5,19.375,406.875,2019-01-24,20:36,Ewallet,4.3,Yangon - A,Thursday,January,4-6
235-06-8510,Member,Male,Home and lifestyle,85.72,3,12.858,270.018,2019-01-24,20:59,Ewallet,5.1,Naypyitaw - C,Thursday,January,4-6
438-23-1242,Normal,Male,Electronic accessories,75.88,7,26.558,557.718,2019-01-24,10:38,Ewallet,8.9,Mandalay - B,Thursday,January,8-10
443-60-9639,Member,Female,Home and lifestyle,60.87,1,3.0435,63.9135,2019-01-24,13:24,Cash,5.5,Naypyitaw - C,Thursday,January,4-6
775-72-1988,Normal,Male,Home and lifestyle,73.28,5,18.32,384.72,2019-01-24,15:05,Ewallet,8.4,Mandalay - B,Thursday,January,8-10
435-13-4908,Member,Male,Fashion accessories,86.68,8,34.672,728.112,2019-01-24,18:04,Credit card,7.2,Yangon - A,Thursday,January,6-8
232-11-3025,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04,Cash,6.4,Yangon - A,Thursday,January,6-8
778-34-2523,Member,Female,Electronic accessories,48.62,8,19.448,408.408,2019-01-24,10:57,Cash,5.0,Yangon - A,Thursday,January,4-6
789-23-8625,Member,Male,Fashion accessories,93.22,3,13.983,293.643,2019-01-24,11:45,Cash,7.2,Mandalay - B,Thursday,January,6-8
237-44-6163,Normal,Male,Electronic accessories,10.56,8,4.224,88.704,2019-01-24,17:43,Cash,7.6,Yangon - A,Thursday,January,6-8
